date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:31	17655/17655	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202020%2023:41:52%20GMT	https://aanaman.me/	C:/My%20Web%20Sites/sugar/aanaman.me/index.html	(from )
16:55:31	6156/6156	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202020%2023:41:52%20GMT	https://aanaman.me/robots.txt		(from )
16:55:32	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Tue,%2028%20Apr%202020%2018:00:24%20GMT	https://aanaman.me/favicon.ico	C:/My%20Web%20Sites/sugar/aanaman.me/favicon.ico	(from https://aanaman.me/)
16:55:33	2178/2178	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Sep%202019%2011:23:08%20GMT	https://aanaman.me/assets/plugins/tiny-slider/tiny-slider.css	C:/My%20Web%20Sites/sugar/aanaman.me/assets/plugins/tiny-slider/tiny-slider.css	(from https://aanaman.me/)
16:55:34	171324/171324	---M--	200	added ('OK')	text/css	date:Mon,%2017%20Aug%202020%2022:43:13%20GMT	https://aanaman.me/assets/css/theme-1.css	C:/My%20Web%20Sites/sugar/aanaman.me/assets/css/theme-1.css	(from https://aanaman.me/)
16:55:36	17655/17655	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202020%2023:41:52%20GMT	https://aanaman.me/index.html	C:/My%20Web%20Sites/sugar/aanaman.me/index-2.html	(from https://aanaman.me/)
16:55:36	1237763/1237763	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2018:00:23%20GMT	https://aanaman.me/assets/fontawesome/js/all.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/fontawesome/js/all.js	(from https://aanaman.me/)
16:55:36	62239/62239	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202020%2017:41:36%20GMT	https://aanaman.me/assets/images/profile.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/profile.png	(from https://aanaman.me/)
16:55:37	18595/18595	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202020%2023:43:01%20GMT	https://aanaman.me/resume.html	C:/My%20Web%20Sites/sugar/aanaman.me/resume.html	(from https://aanaman.me/)
16:55:37	9948/9948	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202020%2023:42:20%20GMT	https://aanaman.me/blog.html	C:/My%20Web%20Sites/sugar/aanaman.me/blog.html	(from https://aanaman.me/)
16:55:39	304148/304148	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2021:56:37%20GMT	https://aanaman.me/assets/images/project/gtuc-radio.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/project/gtuc-radio.png	(from https://aanaman.me/)
16:55:39	69249/69249	---M--	200	added ('OK')	image/jpeg	date:Tue,%2028%20Jul%202020%2017:30:38%20GMT	https://aanaman.me/assets/images/profile-lg.jpg	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/profile-lg.jpg	(from https://aanaman.me/)
16:55:40	339886/339886	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2022:01:56%20GMT	https://aanaman.me/assets/images/project/buzzn-player.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/project/buzzn-player.png	(from https://aanaman.me/)
16:55:40	454338/454338	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2022:04:12%20GMT	https://aanaman.me/assets/images/project/vzonetv.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/project/vzonetv.png	(from https://aanaman.me/)
16:55:42	367895/367895	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2022:27:37%20GMT	https://aanaman.me/assets/images/blog/webdevide.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/blog/webdevide.png	(from https://aanaman.me/)
16:55:42	152453/152453	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2022:22:23%20GMT	https://aanaman.me/assets/images/blog/frameworks.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/blog/frameworks.png	(from https://aanaman.me/)
16:55:42	380359/380359	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2022:06:42%20GMT	https://aanaman.me/assets/images/project/mediaeye.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/project/mediaeye.png	(from https://aanaman.me/)
16:55:42	16745/16745	---M-Z	200	added ('OK')	text/html	date:Thu,%2020%20Aug%202020%2023:42:04%20GMT	https://aanaman.me/10-best-web-development-frameworks.html	C:/My%20Web%20Sites/sugar/aanaman.me/10-best-web-development-frameworks.html	(from https://aanaman.me/)
16:55:44	88145/88145	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2018:00:24%20GMT	https://aanaman.me/assets/plugins/jquery-3.4.1.min.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/plugins/jquery-3.4.1.min.js	(from https://aanaman.me/)
16:55:44	487394/487394	---M--	200	added ('OK')	image/png	date:Wed,%2012%20Aug%202020%2022:37:37%20GMT	https://aanaman.me/assets/images/blog/programming.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/blog/programming.png	(from https://aanaman.me/)
16:55:47	21193/21193	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2018:00:24%20GMT	https://aanaman.me/assets/plugins/popper.min.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/plugins/popper.min.js	(from https://aanaman.me/)
16:55:47	60010/60010	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2018:00:24%20GMT	https://aanaman.me/assets/plugins/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/plugins/bootstrap/js/bootstrap.min.js	(from https://aanaman.me/)
16:55:50	5754/5754	---M-Z	200	added ('OK')	text/javascript	etag:%222fc59a5de14dd1e6d6a2e63e5f29af6f%22	https://kit.fontawesome.com/003051b824.js	C:/My%20Web%20Sites/sugar/kit.fontawesome.com/003051b824.js	(from https://aanaman.me/)
16:55:50	31805/31805	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2016:17:53%20GMT	https://aanaman.me/assets/plugins/tiny-slider/min/tiny-slider.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/plugins/tiny-slider/min/tiny-slider.js	(from https://aanaman.me/)
16:55:52	485/485	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2020:32:25%20GMT	https://aanaman.me/assets/js/testimonials.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/js/testimonials.js	(from https://aanaman.me/)
16:55:52	1161/1161	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2018:00:24%20GMT	https://aanaman.me/assets/js/demo/style-switcher.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/js/demo/style-switcher.js	(from https://aanaman.me/)
16:55:52	1929/1929	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2018:00:24%20GMT	https://aanaman.me/assets/plugins/js-cookie.min.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/plugins/js-cookie.min.js	(from https://aanaman.me/)
16:55:53	861/861	---M--	200	added ('OK')	application/javascript	date:Tue,%2028%20Apr%202020%2018:00:24%20GMT	https://aanaman.me/assets/js/dark-mode.js	C:/My%20Web%20Sites/sugar/aanaman.me/assets/js/dark-mode.js	(from https://aanaman.me/)
16:55:54	49958/49958	---M--	200	added ('OK')	application/pdf	date:Mon,%2017%20Aug%202020%2022:39:39%20GMT	https://aanaman.me/assets/pdf/Abdullah-Resume.pdf	C:/My%20Web%20Sites/sugar/aanaman.me/assets/pdf/Abdullah-Resume.pdf	(from https://aanaman.me/resume.html)
16:55:54	62095/62095	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Jul%202020%2017:40:56%20GMT	https://aanaman.me/assets/images/resume-profile.png	C:/My%20Web%20Sites/sugar/aanaman.me/assets/images/resume-profile.png	(from https://aanaman.me/resume.html)
16:55:57	171324/171324	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Aug%202020%2020:49:41%20GMT	https://cdn.aanaman.me/assets/css/theme-1.css	C:/My%20Web%20Sites/sugar/cdn.aanaman.me/assets/css/theme-1.css	(from https://aanaman.me/blog.html)
16:55:57	1237763/1237763	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Aug%202020%2020:49:42%20GMT	https://cdn.aanaman.me/assets/fontawesome/js/all.js	C:/My%20Web%20Sites/sugar/cdn.aanaman.me/assets/fontawesome/js/all.js	(from https://aanaman.me/blog.html)
16:55:58	1026/1026	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Aug%202020%2020:49:41%20GMT	https://cdn.aanaman.me/assets/plugins/highlight/styles/monokai-sublime.css	C:/My%20Web%20Sites/sugar/cdn.aanaman.me/assets/plugins/highlight/styles/monokai-sublime.css	(from https://aanaman.me/10-best-web-development-frameworks.html)
